Attraction_Name,Nearby_Place,Distance_KM,Category,Rating
Cafe Cafe near Vibrant Market of Mumbai,Vibrant Market of Mumbai,1.4,Food & Dining,4.1
Souvenir Arcade near Vibrant Market of Mumbai,Vibrant Market of Mumbai,0.5,Shopping,4.4
Walkway Park near Vibrant Market of Mumbai,Vibrant Market of Mumbai,0.9,Viewpoint,4.4
Chai Villa Chaat Bhandar near Mumbai Delight Spice Lane,Mumbai Delight Spice Lane,1.4,Food & Dining,3.7
Traditional Market near Mumbai Delight Spice Lane,Mumbai Delight Spice Lane,1.5,Shopping,3.7
Transit Corner near Mumbai Delight Spice Lane,Mumbai Delight Spice Lane,4.8,Transit,3.8
The Spicy Diner near Metro Mumbai Science Arena,Metro Mumbai Science Arena,1.4,Food & Dining,4.2
Artisans Flea Market near Metro Mumbai Science Arena,Metro Mumbai Science Arena,1.1,Shopping,4.3
Local Market Corner near Metro Mumbai Science Arena,Metro Mumbai Science Arena,1.6,Local Market,4.9
Street Cafe near Scenic Peak of Mumbai,Scenic Peak of Mumbai,0.8,Food & Dining,4.8
Central Hub near Scenic Peak of Mumbai,Scenic Peak of Mumbai,2.4,Shopping,3.6
Sunset Deck near Scenic Peak of Mumbai,Scenic Peak of Mumbai,0.6,Activity,4.3
Royal Cafe near Mumbai Sovereign Memorial,Mumbai Sovereign Memorial,1.3,Food & Dining,4.3
Artisans Bazaar near Mumbai Sovereign Memorial,Mumbai Sovereign Memorial,3.1,Shopping,4.4
Transit Corner near Mumbai Sovereign Memorial,Mumbai Sovereign Memorial,2.3,Transit,4.6
Chai Villa Treats near Blessed Mumbai Monastery,Blessed Mumbai Monastery,2.4,Food & Dining,4.0
Handicrafts Arcade near Blessed Mumbai Monastery,Blessed Mumbai Monastery,1.8,Shopping,4.8
Transit Corner near Blessed Mumbai Monastery,Blessed Mumbai Monastery,1.1,Transit,4.7
Bistro Point near Adventure Safari Zone of Mumbai,Adventure Safari Zone of Mumbai,0.7,Food & Dining,4.1
Ethnic Cooperative near Adventure Safari Zone of Mumbai,Adventure Safari Zone of Mumbai,3.0,Shopping,4.5
Local Market Corner near Adventure Safari Zone of Mumbai,Adventure Safari Zone of Mumbai,1.4,Local Market,3.7
Chai Villa Diner near Mumbai Ethnic Amphitheatre,Mumbai Ethnic Amphitheatre,1.7,Food & Dining,3.8
Local Hub near Mumbai Ethnic Amphitheatre,Mumbai Ethnic Amphitheatre,2.3,Shopping,4.2
Transit Corner near Mumbai Ethnic Amphitheatre,Mumbai Ethnic Amphitheatre,3.3,Transit,4.1
The Spicy Spot near Central Mumbai Shopping Arcade,Central Mumbai Shopping Arcade,1.1,Food & Dining,4.1
Handicrafts Market near Central Mumbai Shopping Arcade,Central Mumbai Shopping Arcade,1.8,Shopping,4.5
Local Market Corner near Central Mumbai Shopping Arcade,Central Mumbai Shopping Arcade,2.9,Local Market,4.4
Street Dhaba near Legacy Gourmet Court of Mumbai,Legacy Gourmet Court of Mumbai,0.4,Food & Dining,4.8
Traditional Arcade near Legacy Gourmet Court of Mumbai,Legacy Gourmet Court of Mumbai,2.5,Shopping,3.7
Transit Corner near Legacy Gourmet Court of Mumbai,Legacy Gourmet Court of Mumbai,1.7,Transit,4.6
Chai Villa Chaat Bhandar near Mumbai Stellar Sky Deck,Mumbai Stellar Sky Deck,2.4,Food & Dining,4.0
Local Arcade near Mumbai Stellar Sky Deck,Mumbai Stellar Sky Deck,2.6,Shopping,4.2
Heritage Walk near Mumbai Stellar Sky Deck,Mumbai Stellar Sky Deck,0.8,Viewpoint,4.3
Royal Dhaba near Cloudy Mumbai Gardens,Cloudy Mumbai Gardens,2.4,Food & Dining,3.8
Bustling Market near Cloudy Mumbai Gardens,Cloudy Mumbai Gardens,0.5,Shopping,4.3
Hiking Point near Cloudy Mumbai Gardens,Cloudy Mumbai Gardens,1.0,Activity,4.6
Desi Bakery near Grand Castle of Mumbai,Grand Castle of Mumbai,0.2,Food & Dining,4.5
Souvenir Hub near Grand Castle of Mumbai,Grand Castle of Mumbai,3.4,Shopping,3.9
Local Market Corner near Grand Castle of Mumbai,Grand Castle of Mumbai,2.0,Local Market,4.5
Annapurna Spot near Mumbai Blessed Monastery,Mumbai Blessed Monastery,1.7,Food & Dining,3.8
Local Flea Market near Mumbai Blessed Monastery,Mumbai Blessed Monastery,3.1,Shopping,3.6
Boating Lake near Mumbai Blessed Monastery,Mumbai Blessed Monastery,2.8,Viewpoint,4.7
Annapurna Chaat Bhandar near Adventure Mumbai Trekking Trail,Adventure Mumbai Trekking Trail,1.0,Food & Dining,4.6
Souvenir Flea Market near Adventure Mumbai Trekking Trail,Adventure Mumbai Trekking Trail,1.4,Shopping,4.2
Walkway Park near Adventure Mumbai Trekking Trail,Adventure Mumbai Trekking Trail,2.1,Activity,4.3
Street Point near Classical Cultural Theatre of Mumbai,Classical Cultural Theatre of Mumbai,0.4,Food & Dining,4.9
Bustling Arcade near Classical Cultural Theatre of Mumbai,Classical Cultural Theatre of Mumbai,1.9,Shopping,4.5
Transit Corner near Classical Cultural Theatre of Mumbai,Classical Cultural Theatre of Mumbai,1.0,Transit,3.7
Annapurna Cafe near Mumbai Craft Bazaar,Mumbai Craft Bazaar,0.2,Food & Dining,3.7
Souvenir Cooperative near Mumbai Craft Bazaar,Mumbai Craft Bazaar,3.0,Shopping,4.2
Local Market Corner near Mumbai Craft Bazaar,Mumbai Craft Bazaar,2.9,Local Market,5.0
Laziz Corner near Flavors Mumbai Chaat Corner,Flavors Mumbai Chaat Corner,0.2,Food & Dining,4.1
Handicrafts Corner near Flavors Mumbai Chaat Corner,Flavors Mumbai Chaat Corner,1.7,Shopping,3.8
Photography Spot near Flavors Mumbai Chaat Corner,Flavors Mumbai Chaat Corner,1.0,Activity,4.8
Chai Villa Chaat Bhandar near Futuristic Planetarium of Mumbai,Futuristic Planetarium of Mumbai,1.8,Food & Dining,4.0
Bustling Emporium near Futuristic Planetarium of Mumbai,Futuristic Planetarium of Mumbai,3.5,Shopping,3.8
Local Market Corner near Futuristic Planetarium of Mumbai,Futuristic Planetarium of Mumbai,2.1,Local Market,4.9
Annapurna Diner near Mumbai Hidden Meadow,Mumbai Hidden Meadow,0.4,Food & Dining,4.2
Souvenir Emporium near Mumbai Hidden Meadow,Mumbai Hidden Meadow,2.5,Shopping,3.6
Cable Car Station near Mumbai Hidden Meadow,Mumbai Hidden Meadow,1.7,Viewpoint,3.9
Desi Dhaba near Victorian Mumbai Tomb,Victorian Mumbai Tomb,1.5,Food & Dining,3.6
Ethnic Emporium near Victorian Mumbai Tomb,Victorian Mumbai Tomb,0.7,Shopping,3.7
Heritage Walk near Victorian Mumbai Tomb,Victorian Mumbai Tomb,3.3,Activity,5.0
Gourmet Kitchen near Blessed Monastery of Mumbai,Blessed Monastery of Mumbai,0.3,Food & Dining,4.0
Souvenir Bazaar near Blessed Monastery of Mumbai,Blessed Monastery of Mumbai,1.3,Shopping,4.6
Transit Corner near Blessed Monastery of Mumbai,Blessed Monastery of Mumbai,3.4,Transit,3.7
Annapurna Cafe near Mumbai Adventure Zip-line Valley,Mumbai Adventure Zip-line Valley,0.1,Food & Dining,4.6
Bustling Hub near Mumbai Adventure Zip-line Valley,Mumbai Adventure Zip-line Valley,1.8,Shopping,3.6
Hiking Point near Mumbai Adventure Zip-line Valley,Mumbai Adventure Zip-line Valley,1.2,Activity,3.7
Bistro Dhaba near Legacy Mumbai Traditional Bazaar,Legacy Mumbai Traditional Bazaar,1.2,Food & Dining,3.9
Bustling Corner near Legacy Mumbai Traditional Bazaar,Legacy Mumbai Traditional Bazaar,1.0,Shopping,4.1
Local Market Corner near Legacy Mumbai Traditional Bazaar,Legacy Mumbai Traditional Bazaar,4.4,Local Market,4.0
Chai Villa Point near Emerald Falls of Pune,Emerald Falls of Pune,0.3,Food & Dining,3.6
Central Emporium near Emerald Falls of Pune,Emerald Falls of Pune,0.9,Shopping,3.8
Local Market Corner near Emerald Falls of Pune,Emerald Falls of Pune,4.0,Local Market,3.9
Bistro Cafe near Pune Imperial Gateway,Pune Imperial Gateway,0.7,Food & Dining,4.5
Traditional Emporium near Pune Imperial Gateway,Pune Imperial Gateway,0.5,Shopping,4.0
Local Market Corner near Pune Imperial Gateway,Pune Imperial Gateway,3.8,Local Market,4.4
Desi Chaat Bhandar near Tranquil Pune Temple,Tranquil Pune Temple,1.4,Food & Dining,3.7
Central Market near Tranquil Pune Temple,Tranquil Pune Temple,3.2,Shopping,4.4
Adventure Cliff near Tranquil Pune Temple,Tranquil Pune Temple,1.9,Activity,5.0
Gourmet Bakery near Extreme Rafting Camp of Pune,Extreme Rafting Camp of Pune,1.6,Food & Dining,3.8
Local Flea Market near Extreme Rafting Camp of Pune,Extreme Rafting Camp of Pune,0.3,Shopping,4.2
Local Market Corner near Extreme Rafting Camp of Pune,Extreme Rafting Camp of Pune,0.8,Local Market,4.9
Cafe Cafe near Pune Legacy Folk Centre,Pune Legacy Folk Centre,0.1,Food & Dining,4.1
Handicrafts Hub near Pune Legacy Folk Centre,Pune Legacy Folk Centre,1.8,Shopping,4.3
Walkway Park near Pune Legacy Folk Centre,Pune Legacy Folk Centre,1.5,Viewpoint,4.6
Cafe Spot near Royal Pune Emporium,Royal Pune Emporium,1.9,Food & Dining,4.8
Traditional Hub near Royal Pune Emporium,Royal Pune Emporium,0.4,Shopping,3.8
Heritage Walk near Royal Pune Emporium,Royal Pune Emporium,4.0,Activity,4.5
Bistro Bakery near Traditional Dhaba Zone of Pune,Traditional Dhaba Zone of Pune,2.1,Food & Dining,3.8
Handicrafts Emporium near Traditional Dhaba Zone of Pune,Traditional Dhaba Zone of Pune,1.2,Shopping,4.0
Local Market Corner near Traditional Dhaba Zone of Pune,Traditional Dhaba Zone of Pune,1.8,Local Market,4.6
Bistro Point near Pune Cosmo Aquarium,Pune Cosmo Aquarium,1.5,Food & Dining,3.9
Artisans Corner near Pune Cosmo Aquarium,Pune Cosmo Aquarium,1.4,Shopping,3.8
Hiking Point near Pune Cosmo Aquarium,Pune Cosmo Aquarium,4.0,Activity,3.5
Cafe Bakery near Silent Pune Cave,Silent Pune Cave,1.7,Food & Dining,4.2
Bustling Emporium near Silent Pune Cave,Silent Pune Cave,1.4,Shopping,4.4
Transit Corner near Silent Pune Cave,Silent Pune Cave,1.9,Transit,4.8
Street Diner near Royal Ruin of Pune,Royal Ruin of Pune,1.6,Food & Dining,4.0
Local Market near Royal Ruin of Pune,Royal Ruin of Pune,2.7,Shopping,3.7
Transit Corner near Royal Ruin of Pune,Royal Ruin of Pune,4.0,Transit,4.9
Gourmet Bakery near Pune Tranquil Temple,Pune Tranquil Temple,0.2,Food & Dining,3.8
Artisans Corner near Pune Tranquil Temple,Pune Tranquil Temple,2.1,Shopping,4.1
Transit Corner near Pune Tranquil Temple,Pune Tranquil Temple,3.3,Transit,4.7
Desi Corner near Extreme Pune Camping Ridge,Extreme Pune Camping Ridge,0.1,Food & Dining,4.5
Ethnic Cooperative near Extreme Pune Camping Ridge,Extreme Pune Camping Ridge,2.4,Shopping,4.6
Sunset Deck near Extreme Pune Camping Ridge,Extreme Pune Camping Ridge,1.9,Viewpoint,3.7
Desi Kitchen near Creative Art Village of Pune,Creative Art Village of Pune,2.0,Food & Dining,3.7
Ethnic Market near Creative Art Village of Pune,Creative Art Village of Pune,3.1,Shopping,4.8
Transit Corner near Creative Art Village of Pune,Creative Art Village of Pune,0.3,Transit,3.6
Laziz Dhaba near Pune Local Spices Corner,Pune Local Spices Corner,1.4,Food & Dining,3.7
Local Bazaar near Pune Local Spices Corner,Pune Local Spices Corner,1.4,Shopping,3.7
Hiking Point near Pune Local Spices Corner,Pune Local Spices Corner,2.8,Viewpoint,3.9
Cafe Chaat Bhandar near Savory Pune Sweet Alley,Savory Pune Sweet Alley,2.5,Food & Dining,3.6
Handicrafts Corner near Savory Pune Sweet Alley,Savory Pune Sweet Alley,1.6,Shopping,3.6
Transit Corner near Savory Pune Sweet Alley,Savory Pune Sweet Alley,0.8,Transit,4.8
The Spicy Spot near Apex Amusement Park of Pune,Apex Amusement Park of Pune,1.2,Food & Dining,4.3
Souvenir Hub near Apex Amusement Park of Pune,Apex Amusement Park of Pune,2.9,Shopping,4.7
Boating Lake near Apex Amusement Park of Pune,Apex Amusement Park of Pune,4.5,Activity,3.8
Laziz Chaat Bhandar near Pune Mist-Clad Sunset Point,Pune Mist-Clad Sunset Point,1.1,Food & Dining,3.6
Artisans Arcade near Pune Mist-Clad Sunset Point,Pune Mist-Clad Sunset Point,1.7,Shopping,4.1
Adventure Cliff near Pune Mist-Clad Sunset Point,Pune Mist-Clad Sunset Point,2.4,Activity,4.9
The Spicy Chaat Bhandar near Historic Pune Ancient Caves,Historic Pune Ancient Caves,0.1,Food & Dining,4.7
Traditional Bazaar near Historic Pune Ancient Caves,Historic Pune Ancient Caves,0.7,Shopping,3.9
Local Market Corner near Historic Pune Ancient Caves,Historic Pune Ancient Caves,0.4,Local Market,4.7
Annapurna Treats near Tranquil Temple of Pune,Tranquil Temple of Pune,1.9,Food & Dining,4.6
Handicrafts Arcade near Tranquil Temple of Pune,Tranquil Temple of Pune,0.7,Shopping,4.7
Photography Spot near Tranquil Temple of Pune,Tranquil Temple of Pune,3.1,Activity,3.9
Cafe Chaat Bhandar near Pune Extreme Paragliding Launch,Pune Extreme Paragliding Launch,2.3,Food & Dining,4.0
Artisans Cooperative near Pune Extreme Paragliding Launch,Pune Extreme Paragliding Launch,1.7,Shopping,4.5
Local Market Corner near Pune Extreme Paragliding Launch,Pune Extreme Paragliding Launch,2.2,Local Market,4.8
The Spicy Spot near Folk Pune Heritage Craft Complex,Folk Pune Heritage Craft Complex,0.5,Food & Dining,4.2
Handicrafts Bazaar near Folk Pune Heritage Craft Complex,Folk Pune Heritage Craft Complex,0.2,Shopping,4.7
Boating Lake near Folk Pune Heritage Craft Complex,Folk Pune Heritage Craft Complex,1.3,Activity,4.9
Street Spot near Traditional Flea Market of Pune,Traditional Flea Market of Pune,0.6,Food & Dining,4.2
Bustling Market near Traditional Flea Market of Pune,Traditional Flea Market of Pune,0.3,Shopping,4.1
Sunset Deck near Traditional Flea Market of Pune,Traditional Flea Market of Pune,4.7,Viewpoint,3.7
Gourmet Point near Pune Authentic Food Street,Pune Authentic Food Street,0.6,Food & Dining,4.1
Local Emporium near Pune Authentic Food Street,Pune Authentic Food Street,3.1,Shopping,3.8
Walkway Park near Pune Authentic Food Street,Pune Authentic Food Street,1.8,Viewpoint,3.7
Chai Villa Diner near Tech Pune Botanical Conservatory,Tech Pune Botanical Conservatory,1.2,Food & Dining,4.1
Bustling Cooperative near Tech Pune Botanical Conservatory,Tech Pune Botanical Conservatory,3.5,Shopping,4.1
Hiking Point near Tech Pune Botanical Conservatory,Tech Pune Botanical Conservatory,0.5,Activity,4.8
Desi Diner near Serene Falls of Pune,Serene Falls of Pune,2.1,Food & Dining,3.7
Artisans Emporium near Serene Falls of Pune,Serene Falls of Pune,2.3,Shopping,3.8
Sunset Deck near Serene Falls of Pune,Serene Falls of Pune,3.2,Viewpoint,3.8
Chai Villa Bakery near Pune Sovereign Fort,Pune Sovereign Fort,1.7,Food & Dining,3.6
Handicrafts Emporium near Pune Sovereign Fort,Pune Sovereign Fort,1.5,Shopping,4.3
Transit Corner near Pune Sovereign Fort,Pune Sovereign Fort,4.7,Transit,4.8
The Spicy Kitchen near Tranquil Pune Temple,Tranquil Pune Temple,2.4,Food & Dining,4.0
Traditional Bazaar near Tranquil Pune Temple,Tranquil Pune Temple,2.3,Shopping,4.2
Local Market Corner near Tranquil Pune Temple,Tranquil Pune Temple,2.6,Local Market,4.0
Cafe Diner near Extreme Climbing Wall of Pune,Extreme Climbing Wall of Pune,2.4,Food & Dining,3.8
Central Emporium near Extreme Climbing Wall of Pune,Extreme Climbing Wall of Pune,3.3,Shopping,4.1
Local Market Corner near Extreme Climbing Wall of Pune,Extreme Climbing Wall of Pune,1.6,Local Market,4.1
Cafe Dhaba near Pune Artistic Folk Centre,Pune Artistic Folk Centre,0.4,Food & Dining,3.8
Ethnic Flea Market near Pune Artistic Folk Centre,Pune Artistic Folk Centre,1.9,Shopping,4.4
Local Market Corner near Pune Artistic Folk Centre,Pune Artistic Folk Centre,4.2,Local Market,4.3
Chai Villa Treats near Bustling Pune Market,Bustling Pune Market,1.6,Food & Dining,3.7
Artisans Corner near Bustling Pune Market,Bustling Pune Market,3.5,Shopping,4.1
Cable Car Station near Bustling Pune Market,Bustling Pune Market,4.3,Activity,4.9
Street Point near Culinary Spice Lane of Pune,Culinary Spice Lane of Pune,0.6,Food & Dining,4.7
Handicrafts Market near Culinary Spice Lane of Pune,Culinary Spice Lane of Pune,0.4,Shopping,4.0
Transit Corner near Culinary Spice Lane of Pune,Culinary Spice Lane of Pune,0.5,Transit,3.9
Desi Cafe near Pune Infinity Science Arena,Pune Infinity Science Arena,0.3,Food & Dining,4.2
Central Market near Pune Infinity Science Arena,Pune Infinity Science Arena,2.3,Shopping,4.2
Transit Corner near Pune Infinity Science Arena,Pune Infinity Science Arena,1.1,Transit,4.5
Street Kitchen near Silver Pune Cave,Silver Pune Cave,1.1,Food & Dining,4.6
Handicrafts Cooperative near Silver Pune Cave,Silver Pune Cave,2.5,Shopping,3.9
Transit Corner near Silver Pune Cave,Silver Pune Cave,3.1,Transit,4.1
Desi Kitchen near Grand Museum of Pune,Grand Museum of Pune,1.0,Food & Dining,4.7
Ethnic Market near Grand Museum of Pune,Grand Museum of Pune,2.9,Shopping,4.6
Adventure Cliff near Grand Museum of Pune,Grand Museum of Pune,4.3,Viewpoint,4.6
Street Kitchen near Pune Tranquil Temple,Pune Tranquil Temple,1.3,Food & Dining,3.9
Traditional Flea Market near Pune Tranquil Temple,Pune Tranquil Temple,0.3,Shopping,4.1
Sunset Deck near Pune Tranquil Temple,Pune Tranquil Temple,3.5,Viewpoint,3.8
Chai Villa Corner near Extreme Pune Safari Zone,Extreme Pune Safari Zone,2.2,Food & Dining,4.8
Artisans Market near Extreme Pune Safari Zone,Extreme Pune Safari Zone,1.9,Shopping,4.0
Transit Corner near Extreme Pune Safari Zone,Extreme Pune Safari Zone,1.8,Transit,4.1
Bistro Point near Indigenous Art Village of Pune,Indigenous Art Village of Pune,0.7,Food & Dining,3.9
Souvenir Cooperative near Indigenous Art Village of Pune,Indigenous Art Village of Pune,3.3,Shopping,4.4
Adventure Cliff near Indigenous Art Village of Pune,Indigenous Art Village of Pune,0.4,Viewpoint,4.7
Desi Corner near Pune Vibrant Shopping Arcade,Pune Vibrant Shopping Arcade,1.7,Food & Dining,4.0
Traditional Flea Market near Pune Vibrant Shopping Arcade,Pune Vibrant Shopping Arcade,0.4,Shopping,3.8
Local Market Corner near Pune Vibrant Shopping Arcade,Pune Vibrant Shopping Arcade,2.8,Local Market,4.5
Gourmet Cafe near Delight Pune Gourmet Court,Delight Pune Gourmet Court,1.0,Food & Dining,4.4
Central Corner near Delight Pune Gourmet Court,Delight Pune Gourmet Court,2.7,Shopping,4.3
Heritage Walk near Delight Pune Gourmet Court,Delight Pune Gourmet Court,4.2,Activity,3.9
Gourmet Bakery near Metro Sky Deck of Pune,Metro Sky Deck of Pune,0.7,Food & Dining,3.6
Local Hub near Metro Sky Deck of Pune,Metro Sky Deck of Pune,2.6,Shopping,3.7
Transit Corner near Metro Sky Deck of Pune,Metro Sky Deck of Pune,4.2,Transit,4.7
Street Bakery near Pune Emerald Sunset Point,Pune Emerald Sunset Point,2.0,Food & Dining,3.9
Bustling Flea Market near Pune Emerald Sunset Point,Pune Emerald Sunset Point,0.7,Shopping,4.7
Boating Lake near Pune Emerald Sunset Point,Pune Emerald Sunset Point,2.1,Activity,4.2
Street Cafe near Victorian Pune Gateway,Victorian Pune Gateway,1.7,Food & Dining,3.7
Central Corner near Victorian Pune Gateway,Victorian Pune Gateway,0.3,Shopping,3.6
Transit Corner near Victorian Pune Gateway,Victorian Pune Gateway,4.3,Transit,4.2
Street Spot near Tranquil Temple of Pune,Tranquil Temple of Pune,0.9,Food & Dining,4.6
Souvenir Market near Tranquil Temple of Pune,Tranquil Temple of Pune,1.8,Shopping,4.3
Local Market Corner near Tranquil Temple of Pune,Tranquil Temple of Pune,3.2,Local Market,3.5
Laziz Dhaba near Pune Extreme Trekking Trail,Pune Extreme Trekking Trail,1.9,Food & Dining,4.7
Ethnic Flea Market near Pune Extreme Trekking Trail,Pune Extreme Trekking Trail,1.0,Shopping,4.6
Boating Lake near Pune Extreme Trekking Trail,Pune Extreme Trekking Trail,1.6,Viewpoint,4.3
Laziz Spot near Ethnic Pune Heritage Craft Complex,Ethnic Pune Heritage Craft Complex,2.3,Food & Dining,3.6
Central Emporium near Ethnic Pune Heritage Craft Complex,Ethnic Pune Heritage Craft Complex,0.6,Shopping,4.4
Adventure Cliff near Ethnic Pune Heritage Craft Complex,Ethnic Pune Heritage Craft Complex,2.4,Activity,4.2
Royal Spot near Hidden Beach of Mahabaleshwar,Hidden Beach of Mahabaleshwar,0.8,Food & Dining,4.4
Artisans Corner near Hidden Beach of Mahabaleshwar,Hidden Beach of Mahabaleshwar,1.3,Shopping,3.6
Local Market Corner near Hidden Beach of Mahabaleshwar,Hidden Beach of Mahabaleshwar,2.3,Local Market,4.4
The Spicy Kitchen near Mahabaleshwar Imperial Tomb,Mahabaleshwar Imperial Tomb,2.3,Food & Dining,4.4
Central Flea Market near Mahabaleshwar Imperial Tomb,Mahabaleshwar Imperial Tomb,3.2,Shopping,4.7
Transit Corner near Mahabaleshwar Imperial Tomb,Mahabaleshwar Imperial Tomb,1.7,Transit,4.8
Desi Diner near Holy Mahabaleshwar Ashram,Holy Mahabaleshwar Ashram,0.8,Food & Dining,4.1
Ethnic Emporium near Holy Mahabaleshwar Ashram,Holy Mahabaleshwar Ashram,2.5,Shopping,4.3
Sunset Deck near Holy Mahabaleshwar Ashram,Holy Mahabaleshwar Ashram,1.3,Activity,4.3
Royal Chaat Bhandar near Summit Zip-line Valley of Mahabaleshwar,Summit Zip-line Valley of Mahabaleshwar,0.9,Food & Dining,3.7
Bustling Cooperative near Summit Zip-line Valley of Mahabaleshwar,Summit Zip-line Valley of Mahabaleshwar,2.0,Shopping,3.6
Transit Corner near Summit Zip-line Valley of Mahabaleshwar,Summit Zip-line Valley of Mahabaleshwar,2.2,Transit,4.5
Desi Diner near Mahabaleshwar Ethnic Amphitheatre,Mahabaleshwar Ethnic Amphitheatre,1.0,Food & Dining,4.7
Local Hub near Mahabaleshwar Ethnic Amphitheatre,Mahabaleshwar Ethnic Amphitheatre,3.1,Shopping,4.4
Transit Corner near Mahabaleshwar Ethnic Amphitheatre,Mahabaleshwar Ethnic Amphitheatre,3.5,Transit,4.1
Street Spot near Central Mahabaleshwar Cooperative Store,Central Mahabaleshwar Cooperative Store,2.3,Food & Dining,4.5
Traditional Hub near Central Mahabaleshwar Cooperative Store,Central Mahabaleshwar Cooperative Store,1.7,Shopping,4.7
Transit Corner near Central Mahabaleshwar Cooperative Store,Central Mahabaleshwar Cooperative Store,2.6,Transit,4.2
Gourmet Dhaba near Legacy Historic Cafe of Mahabaleshwar,Legacy Historic Cafe of Mahabaleshwar,0.2,Food & Dining,4.1
Handicrafts Cooperative near Legacy Historic Cafe of Mahabaleshwar,Legacy Historic Cafe of Mahabaleshwar,1.9,Shopping,3.7
Cable Car Station near Legacy Historic Cafe of Mahabaleshwar,Legacy Historic Cafe of Mahabaleshwar,1.4,Viewpoint,4.9
Desi Point near Mahabaleshwar Stellar Art Gallery,Mahabaleshwar Stellar Art Gallery,0.8,Food & Dining,4.6
Ethnic Emporium near Mahabaleshwar Stellar Art Gallery,Mahabaleshwar Stellar Art Gallery,1.6,Shopping,4.2
Transit Corner near Mahabaleshwar Stellar Art Gallery,Mahabaleshwar Stellar Art Gallery,4.1,Transit,4.2
Street Point near Whispering Mahabaleshwar Wildlife Reserve,Whispering Mahabaleshwar Wildlife Reserve,1.6,Food & Dining,4.3
Traditional Corner near Whispering Mahabaleshwar Wildlife Reserve,Whispering Mahabaleshwar Wildlife Reserve,3.0,Shopping,3.5
Local Market Corner near Whispering Mahabaleshwar Wildlife Reserve,Whispering Mahabaleshwar Wildlife Reserve,1.0,Local Market,5.0
Annapurna Treats near Royal Palace of Mahabaleshwar,Royal Palace of Mahabaleshwar,0.3,Food & Dining,3.8
Traditional Hub near Royal Palace of Mahabaleshwar,Royal Palace of Mahabaleshwar,2.4,Shopping,4.3
Adventure Cliff near Royal Palace of Mahabaleshwar,Royal Palace of Mahabaleshwar,4.8,Activity,4.7
Royal Corner near Mahabaleshwar Holy Ashram,Mahabaleshwar Holy Ashram,1.7,Food & Dining,4.0
Bustling Cooperative near Mahabaleshwar Holy Ashram,Mahabaleshwar Holy Ashram,2.2,Shopping,3.8
Cable Car Station near Mahabaleshwar Holy Ashram,Mahabaleshwar Holy Ashram,4.0,Viewpoint,3.5
Desi Corner near Summit Mahabaleshwar Rafting Camp,Summit Mahabaleshwar Rafting Camp,1.8,Food & Dining,4.7
Handicrafts Cooperative near Summit Mahabaleshwar Rafting Camp,Summit Mahabaleshwar Rafting Camp,0.6,Shopping,4.4
Heritage Walk near Summit Mahabaleshwar Rafting Camp,Summit Mahabaleshwar Rafting Camp,3.7,Activity,3.8
Chai Villa Spot near Classical Cultural Theatre of Mahabaleshwar,Classical Cultural Theatre of Mahabaleshwar,1.6,Food & Dining,4.3
Bustling Corner near Classical Cultural Theatre of Mahabaleshwar,Classical Cultural Theatre of Mahabaleshwar,3.1,Shopping,4.1
Local Market Corner near Classical Cultural Theatre of Mahabaleshwar,Classical Cultural Theatre of Mahabaleshwar,2.8,Local Market,4.1
The Spicy Diner near Mahabaleshwar Craft Emporium,Mahabaleshwar Craft Emporium,1.8,Food & Dining,4.6
Local Corner near Mahabaleshwar Craft Emporium,Mahabaleshwar Craft Emporium,2.2,Shopping,4.3
Transit Corner near Mahabaleshwar Craft Emporium,Mahabaleshwar Craft Emporium,1.4,Transit,3.8
Cafe Dhaba near Flavors Mahabaleshwar Dhaba Zone,Flavors Mahabaleshwar Dhaba Zone,2.4,Food & Dining,3.9
Artisans Emporium near Flavors Mahabaleshwar Dhaba Zone,Flavors Mahabaleshwar Dhaba Zone,2.3,Shopping,4.5
Transit Corner near Flavors Mahabaleshwar Dhaba Zone,Flavors Mahabaleshwar Dhaba Zone,4.7,Transit,3.8
Laziz Bakery near Futuristic Aquarium of Mahabaleshwar,Futuristic Aquarium of Mahabaleshwar,1.6,Food & Dining,3.7
Bustling Bazaar near Futuristic Aquarium of Mahabaleshwar,Futuristic Aquarium of Mahabaleshwar,0.5,Shopping,4.4
Boating Lake near Futuristic Aquarium of Mahabaleshwar,Futuristic Aquarium of Mahabaleshwar,2.0,Viewpoint,4.8
Bistro Cafe near Mahabaleshwar Golden Lake,Mahabaleshwar Golden Lake,0.2,Food & Dining,4.4
Ethnic Hub near Mahabaleshwar Golden Lake,Mahabaleshwar Golden Lake,0.6,Shopping,3.6
Local Market Corner near Mahabaleshwar Golden Lake,Mahabaleshwar Golden Lake,3.9,Local Market,4.6
Desi Corner near Historic Mahabaleshwar Heritage Centre,Historic Mahabaleshwar Heritage Centre,0.5,Food & Dining,4.7
Bustling Market near Historic Mahabaleshwar Heritage Centre,Historic Mahabaleshwar Heritage Centre,3.2,Shopping,4.6
Adventure Cliff near Historic Mahabaleshwar Heritage Centre,Historic Mahabaleshwar Heritage Centre,1.1,Activity,3.9
Gourmet Corner near Holy Ashram of Mahabaleshwar,Holy Ashram of Mahabaleshwar,1.7,Food & Dining,3.5
Handicrafts Flea Market near Holy Ashram of Mahabaleshwar,Holy Ashram of Mahabaleshwar,3.2,Shopping,4.0
